name,icd_code,description,is_active
"Moderate Acute Diverticulitis","K57.922","Inflamed colonic diverticula, prescribe oral antibiotics and clear liquid diet with moderate severity symptoms.",true
"Severe Acute Diverticulitis","K57.923","Inflamed colonic diverticula, prescribe oral antibiotics and clear liquid diet with severe clinical findings.",true
"Active Acute Diverticulitis","K57.924","Inflamed colonic diverticula, prescribe oral antibiotics and clear liquid diet with currently active phase.",true
"In Remission Acute Diverticulitis","K57.925","Inflamed colonic diverticula, prescribe oral antibiotics and clear liquid diet with under therapeutic remission.",true
"Mild Cholelithiasis","K80.201","Gallstones without cholecystitis, advise low-fat meals with mild severity symptoms.",true
"Moderate Cholelithiasis","K80.202","Gallstones without cholecystitis, advise low-fat meals with moderate severity symptoms.",true
"Severe Cholelithiasis","K80.203","Gallstones without cholecystitis, advise low-fat meals with severe clinical findings.",true
"Active Cholelithiasis","K80.204","Gallstones without cholecystitis, advise low-fat meals with currently active phase.",true
"In Remission Cholelithiasis","K80.205","Gallstones without cholecystitis, advise low-fat meals with under therapeutic remission.",true
"Mild Acute Cholecystitis","K81.01","Gallbladder inflammation, evaluate for surgical consult and antibiotics with mild severity symptoms.",true
"Moderate Acute Cholecystitis","K81.02","Gallbladder inflammation, evaluate for surgical consult and antibiotics with moderate severity symptoms.",true
"Severe Acute Cholecystitis","K81.03","Gallbladder inflammation, evaluate for surgical consult and antibiotics with severe clinical findings.",true
"Active Acute Cholecystitis","K81.04","Gallbladder inflammation, evaluate for surgical consult and antibiotics with currently active phase.",true
"In Remission Acute Cholecystitis","K81.05","Gallbladder inflammation, evaluate for surgical consult and antibiotics with under therapeutic remission.",true
"Mild Non-Alcoholic Fatty Liver","K76.01","Hepatic steatosis, advise weight reduction and check liver panel with mild severity symptoms.",true
"Moderate Non-Alcoholic Fatty Liver","K76.02","Hepatic steatosis, advise weight reduction and check liver panel with moderate severity symptoms.",true
"Severe Non-Alcoholic Fatty Liver","K76.03","Hepatic steatosis, advise weight reduction and check liver panel with severe clinical findings.",true
"Active Non-Alcoholic Fatty Liver","K76.04","Hepatic steatosis, advise weight reduction and check liver panel with currently active phase.",true
"In Remission Non-Alcoholic Fatty Liver","K76.05","Hepatic steatosis, advise weight reduction and check liver panel with under therapeutic remission.",true
"Mild Non-Alcoholic Steatohepatitis","K75.811","Fatty liver with active inflammation, monitor liver fibrosis scores with mild severity symptoms.",true
"Moderate Non-Alcoholic Steatohepatitis","K75.812","Fatty liver with active inflammation, monitor liver fibrosis scores with moderate severity symptoms.",true
"Severe Non-Alcoholic Steatohepatitis","K75.813","Fatty liver with active inflammation, monitor liver fibrosis scores with severe clinical findings.",true
"Active Non-Alcoholic Steatohepatitis","K75.814","Fatty liver with active inflammation, monitor liver fibrosis scores with currently active phase.",true
"In Remission Non-Alcoholic Steatohepatitis","K75.815","Fatty liver with active inflammation, monitor liver fibrosis scores with under therapeutic remission.",true
"Mild Portal Hypertension","K76.61","Elevated portal venous pressure, evaluate for esophageal varices with mild severity symptoms.",true
"Moderate Portal Hypertension","K76.62","Elevated portal venous pressure, evaluate for esophageal varices with moderate severity symptoms.",true
"Severe Portal Hypertension","K76.63","Elevated portal venous pressure, evaluate for esophageal varices with severe clinical findings.",true
"Active Portal Hypertension","K76.64","Elevated portal venous pressure, evaluate for esophageal varices with currently active phase.",true
"In Remission Portal Hypertension","K76.65","Elevated portal venous pressure, evaluate for esophageal varices with under therapeutic remission.",true
"Mild Chronic Pancreatitis","K86.11","Progressive pancreatic scarring, prescribe pancreatic enzyme replacement with mild severity symptoms.",true
"Moderate Chronic Pancreatitis","K86.12","Progressive pancreatic scarring, prescribe pancreatic enzyme replacement with moderate severity symptoms.",true
"Severe Chronic Pancreatitis","K86.13","Progressive pancreatic scarring, prescribe pancreatic enzyme replacement with severe clinical findings.",true
"Active Chronic Pancreatitis","K86.14","Progressive pancreatic scarring, prescribe pancreatic enzyme replacement with currently active phase.",true
"In Remission Chronic Pancreatitis","K86.15","Progressive pancreatic scarring, prescribe pancreatic enzyme replacement with under therapeutic remission.",true
"Mild Celiac Disease","K90.01","Gluten-sensitive enteropathy, require strict lifetime gluten-free diet with mild severity symptoms.",true
"Moderate Celiac Disease","K90.02","Gluten-sensitive enteropathy, require strict lifetime gluten-free diet with moderate severity symptoms.",true
"Severe Celiac Disease","K90.03","Gluten-sensitive enteropathy, require strict lifetime gluten-free diet with severe clinical findings.",true
"Active Celiac Disease","K90.04","Gluten-sensitive enteropathy, require strict lifetime gluten-free diet with currently active phase.",true
"In Remission Celiac Disease","K90.05","Gluten-sensitive enteropathy, require strict lifetime gluten-free diet with under therapeutic remission.",true
"Mild Internal Hemorrhoids","K64.91","Swollen internal rectal veins, prescribe stool softeners and topical creams with mild severity symptoms.",true
"Moderate Internal Hemorrhoids","K64.92","Swollen internal rectal veins, prescribe stool softeners and topical creams with moderate severity symptoms.",true
"Severe Internal Hemorrhoids","K64.93","Swollen internal rectal veins, prescribe stool softeners and topical creams with severe clinical findings.",true
"Active Internal Hemorrhoids","K64.94","Swollen internal rectal veins, prescribe stool softeners and topical creams with currently active phase.",true
"In Remission Internal Hemorrhoids","K64.95","Swollen internal rectal veins, prescribe stool softeners and topical creams with under therapeutic remission.",true
"Mild Anal Fissure","K60.21","Mucosal tear in anal canal, suggest sitz baths and topical nitroglycerin with mild severity symptoms.",true
"Moderate Anal Fissure","K60.22","Mucosal tear in anal canal, suggest sitz baths and topical nitroglycerin with moderate severity symptoms.",true
"Severe Anal Fissure","K60.23","Mucosal tear in anal canal, suggest sitz baths and topical nitroglycerin with severe clinical findings.",true
"Active Anal Fissure","K60.24","Mucosal tear in anal canal, suggest sitz baths and topical nitroglycerin with currently active phase.",true
"In Remission Anal Fissure","K60.25","Mucosal tear in anal canal, suggest sitz baths and topical nitroglycerin with under therapeutic remission.",true
"Mild Gastroduodenal Obstruction","K31.51","Narrowed stomach exit, evaluate for surgical dilation or bypass with mild severity symptoms.",true
"Moderate Gastroduodenal Obstruction","K31.52","Narrowed stomach exit, evaluate for surgical dilation or bypass with moderate severity symptoms.",true
"Severe Gastroduodenal Obstruction","K31.53","Narrowed stomach exit, evaluate for surgical dilation or bypass with severe clinical findings.",true
"Active Gastroduodenal Obstruction","K31.54","Narrowed stomach exit, evaluate for surgical dilation or bypass with currently active phase.",true
"In Remission Gastroduodenal Obstruction","K31.55","Narrowed stomach exit, evaluate for surgical dilation or bypass with under therapeutic remission.",true
